,paper_id,title,primary_area,keywords,reviewer_id,rating,soundness,presentation,contribution,confidence,review_number,decision
72,ziehA15y8k,Enhancing Robustness of Graph Neural Networks on Social Media with Explainable Inverse Reinforcement Learning,graph_neural_networks,"['graph adverisarial attack', 'reinforcement learning', 'inverse reinforcement learning', 'graph neural networks']",Reviewer_sELL,7,3,2,3,3,1,Accept (spotlight)
73,ziehA15y8k,Enhancing Robustness of Graph Neural Networks on Social Media with Explainable Inverse Reinforcement Learning,graph_neural_networks,"['graph adverisarial attack', 'reinforcement learning', 'inverse reinforcement learning', 'graph neural networks']",Reviewer_M7DL,8,3,4,4,4,2,Accept (spotlight)
74,ziehA15y8k,Enhancing Robustness of Graph Neural Networks on Social Media with Explainable Inverse Reinforcement Learning,graph_neural_networks,"['graph adverisarial attack', 'reinforcement learning', 'inverse reinforcement learning', 'graph neural networks']",Reviewer_QAYk,5,3,2,3,5,3,Accept (spotlight)
75,ziehA15y8k,Enhancing Robustness of Graph Neural Networks on Social Media with Explainable Inverse Reinforcement Learning,graph_neural_networks,"['graph adverisarial attack', 'reinforcement learning', 'inverse reinforcement learning', 'graph neural networks']",Reviewer_E98Q,8,3,3,4,4,4,Accept (spotlight)
76,ziYC4FHRNr,Entrywise error bounds for low-rank approximations of kernel matrices,learning_theory,"['low-rank approximation', 'kernel methods', 'SVD', 'theory', 'error bounds']",Reviewer_2JjA,6,3,3,3,3,1,Accept (poster)
77,ziYC4FHRNr,Entrywise error bounds for low-rank approximations of kernel matrices,learning_theory,"['low-rank approximation', 'kernel methods', 'SVD', 'theory', 'error bounds']",Reviewer_3p4Z,5,3,3,2,3,2,Accept (poster)
78,ziYC4FHRNr,Entrywise error bounds for low-rank approximations of kernel matrices,learning_theory,"['low-rank approximation', 'kernel methods', 'SVD', 'theory', 'error bounds']",Reviewer_tJPJ,5,2,4,3,4,3,Accept (poster)
79,zgh0ChWocO,Learning the Optimal Policy for Balancing Short-Term and Long-Term Rewards,causal_inference,"['Policy Learning', 'Short-Term and Long-Term Rewards', 'Causal Inference', 'Decision Making']",Reviewer_B23s,6,3,3,3,3,1,Accept (poster)
80,zgh0ChWocO,Learning the Optimal Policy for Balancing Short-Term and Long-Term Rewards,causal_inference,"['Policy Learning', 'Short-Term and Long-Term Rewards', 'Causal Inference', 'Decision Making']",Reviewer_hVvL,4,3,3,3,2,2,Accept (poster)
81,zgh0ChWocO,Learning the Optimal Policy for Balancing Short-Term and Long-Term Rewards,causal_inference,"['Policy Learning', 'Short-Term and Long-Term Rewards', 'Causal Inference', 'Decision Making']",Reviewer_xruw,5,3,3,3,1,3,Accept (poster)
82,zgh0ChWocO,Learning the Optimal Policy for Balancing Short-Term and Long-Term Rewards,causal_inference,"['Policy Learning', 'Short-Term and Long-Term Rewards', 'Causal Inference', 'Decision Making']",Reviewer_ouKL,6,3,3,3,3,4,Accept (poster)
83,zeaBrGv7Ll,SeeClear: Semantic Distillation Enhances Pixel Condensation for Video Super-Resolution,machine_vision,"['Video Super-Resolution', 'Diffusion Model']",Reviewer_ERJ1,6,2,3,3,4,1,Accept (poster)
84,zeaBrGv7Ll,SeeClear: Semantic Distillation Enhances Pixel Condensation for Video Super-Resolution,machine_vision,"['Video Super-Resolution', 'Diffusion Model']",Reviewer_srYj,5,2,3,3,4,2,Accept (poster)
85,zeaBrGv7Ll,SeeClear: Semantic Distillation Enhances Pixel Condensation for Video Super-Resolution,machine_vision,"['Video Super-Resolution', 'Diffusion Model']",Reviewer_vLVk,6,3,3,3,4,3,Accept (poster)
86,zeaBrGv7Ll,SeeClear: Semantic Distillation Enhances Pixel Condensation for Video Super-Resolution,machine_vision,"['Video Super-Resolution', 'Diffusion Model']",Reviewer_NXC1,3,2,2,2,5,4,Accept (poster)
87,zeYyq0GpXO,Exploring Context Window of Large Language Models via Decomposed Positional Vectors,natural_language_processing,"['Positional Vector', 'Context Window', 'Large Language Model', 'Length Extrapolation', 'Context Window Extension']",Reviewer_yDA4,6,2,3,3,4,1,Accept (spotlight)
88,zeYyq0GpXO,Exploring Context Window of Large Language Models via Decomposed Positional Vectors,natural_language_processing,"['Positional Vector', 'Context Window', 'Large Language Model', 'Length Extrapolation', 'Context Window Extension']",Reviewer_1sVW,7,3,4,3,3,2,Accept (spotlight)
89,zeYyq0GpXO,Exploring Context Window of Large Language Models via Decomposed Positional Vectors,natural_language_processing,"['Positional Vector', 'Context Window', 'Large Language Model', 'Length Extrapolation', 'Context Window Extension']",Reviewer_R24u,7,4,3,4,4,3,Accept (spotlight)
90,zeNwOAcb4q,Estimating Transition Matrix with Diffusion Models for Instance-Dependent Label Noise,diffusion_based_models,"['Transition Matrix', 'Label Noise', 'Diffusion Models']",Reviewer_YAFq,3,1,2,2,4,1,Reject
91,zeNwOAcb4q,Estimating Transition Matrix with Diffusion Models for Instance-Dependent Label Noise,diffusion_based_models,"['Transition Matrix', 'Label Noise', 'Diffusion Models']",Reviewer_87Qq,2,1,1,1,4,2,Reject
92,zeNwOAcb4q,Estimating Transition Matrix with Diffusion Models for Instance-Dependent Label Noise,diffusion_based_models,"['Transition Matrix', 'Label Noise', 'Diffusion Models']",Reviewer_s31f,3,1,2,1,5,3,Reject
93,zcEPOB9rCR,Bridging Geometric States via Geometric Diffusion Bridge,generative_models,"['Bridging Geometric States', 'Generative Modeling', 'Geometric Deep Learning', 'Diffusion Bridge', ""Doob's h-transform"", 'Equivariance']",Reviewer_dV6w,6,3,4,3,3,1,Accept (poster)
94,zcEPOB9rCR,Bridging Geometric States via Geometric Diffusion Bridge,generative_models,"['Bridging Geometric States', 'Generative Modeling', 'Geometric Deep Learning', 'Diffusion Bridge', ""Doob's h-transform"", 'Equivariance']",Reviewer_U4NU,5,3,3,2,3,2,Accept (poster)
95,zcEPOB9rCR,Bridging Geometric States via Geometric Diffusion Bridge,generative_models,"['Bridging Geometric States', 'Generative Modeling', 'Geometric Deep Learning', 'Diffusion Bridge', ""Doob's h-transform"", 'Equivariance']",Reviewer_znC7,3,2,2,2,4,3,Accept (poster)
96,zcEPOB9rCR,Bridging Geometric States via Geometric Diffusion Bridge,generative_models,"['Bridging Geometric States', 'Generative Modeling', 'Geometric Deep Learning', 'Diffusion Bridge', ""Doob's h-transform"", 'Equivariance']",Reviewer_Sjdg,6,3,3,3,2,4,Accept (poster)
97,zb8jLAh2VN,Inference of Neural Dynamics Using Switching Recurrent Neural Networks,neuroscience_and_cognitive_science,"['Neural Dynamics', 'Variational Inference', 'Recurrent Neural Networks']",Reviewer_uaif,5,3,2,2,4,1,Accept (poster)
98,zb8jLAh2VN,Inference of Neural Dynamics Using Switching Recurrent Neural Networks,neuroscience_and_cognitive_science,"['Neural Dynamics', 'Variational Inference', 'Recurrent Neural Networks']",Reviewer_Kpfw,6,3,3,3,4,2,Accept (poster)
99,zb8jLAh2VN,Inference of Neural Dynamics Using Switching Recurrent Neural Networks,neuroscience_and_cognitive_science,"['Neural Dynamics', 'Variational Inference', 'Recurrent Neural Networks']",Reviewer_hFy4,3,2,2,2,4,3,Accept (poster)
100,zb8jLAh2VN,Inference of Neural Dynamics Using Switching Recurrent Neural Networks,neuroscience_and_cognitive_science,"['Neural Dynamics', 'Variational Inference', 'Recurrent Neural Networks']",Reviewer_8VtM,6,3,3,2,3,4,Accept (poster)
101,zaXuMqOAF4,Mesa-Extrapolation: A Weave Position Encoding Method for Enhanced Extrapolation in LLMs,generative_models,"['Large language models', 'extrapolation', 'position encoding', 'transformers', 'self-attention']",Reviewer_vMAr,5,3,3,2,5,1,Accept (poster)
102,zaXuMqOAF4,Mesa-Extrapolation: A Weave Position Encoding Method for Enhanced Extrapolation in LLMs,generative_models,"['Large language models', 'extrapolation', 'position encoding', 'transformers', 'self-attention']",Reviewer_bJoG,8,3,3,4,3,2,Accept (poster)
103,zaXuMqOAF4,Mesa-Extrapolation: A Weave Position Encoding Method for Enhanced Extrapolation in LLMs,generative_models,"['Large language models', 'extrapolation', 'position encoding', 'transformers', 'self-attention']",Reviewer_PZAX,4,2,2,2,4,3,Accept (poster)
104,zaXuMqOAF4,Mesa-Extrapolation: A Weave Position Encoding Method for Enhanced Extrapolation in LLMs,generative_models,"['Large language models', 'extrapolation', 'position encoding', 'transformers', 'self-attention']",Reviewer_hjGM,6,3,3,3,4,4,Accept (poster)
105,zaXuMqOAF4,Mesa-Extrapolation: A Weave Position Encoding Method for Enhanced Extrapolation in LLMs,generative_models,"['Large language models', 'extrapolation', 'position encoding', 'transformers', 'self-attention']",Reviewer_LfLf,6,3,2,3,4,5,Accept (poster)
106,za9Jx8yqUA,GenRL: Multimodal-foundation world models for generalization in embodied agents,reinforcement_learning,"['world models', 'foundations models', 'reinforcement learning', 'multitask generalization']",Reviewer_Yb6H,5,3,3,3,5,1,Accept (poster)
107,za9Jx8yqUA,GenRL: Multimodal-foundation world models for generalization in embodied agents,reinforcement_learning,"['world models', 'foundations models', 'reinforcement learning', 'multitask generalization']",Reviewer_bBQY,7,2,3,3,3,2,Accept (poster)
108,za9Jx8yqUA,GenRL: Multimodal-foundation world models for generalization in embodied agents,reinforcement_learning,"['world models', 'foundations models', 'reinforcement learning', 'multitask generalization']",Reviewer_jfoT,3,1,3,3,4,3,Accept (poster)
109,za9Jx8yqUA,GenRL: Multimodal-foundation world models for generalization in embodied agents,reinforcement_learning,"['world models', 'foundations models', 'reinforcement learning', 'multitask generalization']",Reviewer_X1kr,5,3,1,3,4,4,Accept (poster)
