,paper_id,rating,decision,theta_mean,theta_lower50,theta_upper50,theta_lower95,theta_upper95
19,06ZvHHBR0i,"[3, 1, 3, 3]",Reject,2.2493498,1.9458217024803162,2.615500807762146,2.9974044024944306,3.2781222283840177
20,07N9jCfIE4,"[6, 5, 3, 8, 3]",Reject,3.9371984,3.3550801277160645,4.615292549133301,5.290683746337891,5.662377798557282
21,07ZaA3MiL0,"[3, 5, 6, 3]",Withdrawn,3.5940602,3.1334660053253174,4.154529809951782,4.6629263997077945,4.98745641708374
22,07cehZ97Xb,"[5, 3, 3]",Withdrawn,3.1138363,2.686125874519348,3.672794222831726,4.20170761346817,4.526860928535461
23,07yvxWDSla,"[8, 8, 8, 8]",Accept (Oral),7.4636965,7.318137884140015,7.926815152168274,8.189265179634095,8.390932655334472
24,0823rvTIhs,"[5, 6, 8, 6]",Accept (Poster),5.1943626,4.664309501647949,5.962571859359741,6.458558261394501,6.760862219333648
25,08FCLXDY3S,"[6, 3, 5, 3]",Withdrawn,3.5640247,3.0954073071479797,4.148592591285706,4.676625597476959,5.029645800590515
26,09FiNmvNMw,"[6, 6, 5]",Accept (Poster),4.8408895,4.484274983406067,5.5081223249435425,5.912766683101654,6.157498288154602
27,09JVxsEZPf,"[5, 5, 6, 3, 5]",Withdrawn,4.3974338,4.071784496307373,4.780570983886719,5.135911691188812,5.381563949584961
28,09LEjbLcZW,"[5, 5, 5]",Reject,4.5067363,4.285528063774109,4.988139390945435,5.326683223247528,5.563210189342499
29,09TI1yUo9K,"[3, 5, 5, 5]",Withdrawn,4.0224304,3.6551164388656616,4.484891414642334,4.914814448356628,5.171606838703155
30,0A6f1b66pE,"[6, 3, 3, 5, 6]",Withdrawn,4.0273833,3.6318042278289795,4.530010461807251,4.974325573444367,5.20673280954361
31,0AHkdAtFW8,"[5, 5, 6, 6, 6]",Reject,5.346725,5.117403984069824,5.631050109863281,5.88756160736084,6.027328622341155
32,0ASCZrVzSX,"[5, 5, 6]",Reject,4.6203294,4.219496726989746,5.241942286491394,5.657244181632995,6.024386322498321
33,0Ag8FQ5Rr3,"[6, 5, 1, 5, 6]",Reject,3.616976,3.042456805706024,4.31617534160614,4.918095111846924,5.352148079872132
34,0ApkwFlCxq,"[6, 5, 6, 8]",Reject,5.1943626,4.664309501647949,5.962571859359741,6.458558261394501,6.760862219333648
35,0BBzwpLVpm,"[3, 5, 3, 6]",Withdrawn,3.5640247,3.0954073071479797,4.148592591285706,4.676625597476959,5.029645800590515
36,0BujOfTqab,"[3, 3, 8, 8]",Accept (Poster),3.3459513,2.3933311104774475,4.497839450836182,5.272371625900268,5.772304046154022
37,0C5iHPPwsG,"[3, 5, 8, 6]",Reject,3.807788,2.976205050945282,4.847975373268127,5.51959331035614,5.955540764331817
38,0CieWy9ONY,"[6, 6, 8, 6]",Accept (Poster),5.6020265,5.166113376617432,6.3102744817733765,6.751601195335389,7.05660879611969
39,0CtIt485ew,"[5, 3, 3, 5]",Withdrawn,3.5093408,3.148309826850891,3.982743501663208,4.408074688911438,4.704056358337402
40,0CvJYiOo2b,"[5, 3, 5, 5]",Reject,4.0224304,3.6551164388656616,4.484891414642334,4.914814448356628,5.171606838703155
41,0DZEs8NpUH,"[5, 8, 5]",Accept (Poster),4.0972166,3.1851468682289124,5.296826958656311,6.053235411643982,6.44964941740036
42,0EP01yhDlg,"[5, 5, 5, 5]",Reject,4.772791,4.560677409172058,5.051960229873657,5.29697425365448,5.459376692771912
43,0F1rIKppTf,"[6, 6, 5, 6]",Reject,5.375555,5.117740511894226,5.744035482406616,6.050020825862885,6.260051250457764
44,0FK6tzqV76,"[5, 6, 6, 6]",Accept (Poster),5.375555,5.117740511894226,5.744035482406616,6.050020825862885,6.260051250457764
45,0FbzC7B9xI,"[6, 5, 8, 8, 6]",Accept (Poster),5.6545424,5.146734952926636,6.312382459640503,6.827024352550507,7.143594014644623
46,0Fi3u4RCyU,"[8, 5, 8, 5]",Reject,4.6198516,3.753247559070587,5.70958948135376,6.410763442516327,6.8123695850372314
47,0FxnSZJPmh,"[6, 5, 6]",Accept (Poster),4.9181466,4.557041525840759,5.547185778617859,5.962268447875977,6.252554416656494
48,0G6rRLYcxm,"[6, 5, 3, 6]",Withdrawn,4.161715,3.691257119178772,4.784115195274353,5.307777321338653,5.748890602588653
49,0GC81gpjOo,"[3, 3, 6, 6]",Reject,3.5914834,3.0324164628982544,4.321711897850037,4.842851138114929,5.21681842803955
50,0GzqVqCKns,"[6, 8, 6, 6]",Accept (Poster),5.6020265,5.166113376617432,6.3102744817733765,6.751601195335389,7.05660879611969
51,0HWAbWgI3T,"[5, 3, 5]",Withdrawn,3.5910006,3.1370299458503723,4.210055232048035,4.655126166343689,4.971946275234222
52,0HqPwbN1Su,"[3, 6, 5]",Reject,3.5469468,2.9626664519309998,4.405492663383484,4.908941328525544,5.460704874992371
53,0IhoIn0jJ3,"[5, 5, 3, 5]",Reject,4.0224304,3.6551164388656616,4.484891414642334,4.914814448356628,5.171606838703155
54,0IqriWHWYy,"[6, 5, 3, 3]",Reject,3.5940602,3.1334660053253174,4.154529809951782,4.6629263997077945,4.98745641708374
55,0JOhLEf2bX,"[3, 3, 5]",Withdrawn,3.1138363,2.686125874519348,3.672794222831726,4.20170761346817,4.526860928535461
56,0JcPJ0CLbx,"[3, 3, 3, 6]",Withdrawn,3.2009103,2.7600921988487244,3.726018726825714,4.213844573497773,4.59625173807144
57,0JjsZC0w8x,"[6, 8, 6, 3]",Reject,3.9870746,3.1529693007469177,5.073744773864746,5.784754359722138,6.241669917106627
58,0JwxMqKGxa,"[1, 3, 3, 1, 5, 6]",Withdrawn,2.6763728,2.1730438470840454,3.208766758441925,3.7405527591705323,4.169286465644836
59,0K1OaL6XuK,"[6, 6, 1, 6]",Accept (Poster),3.23088,2.5121461749076843,4.141257882118225,4.878551542758942,5.448770594596863
60,0KFwhDqTQ6,"[5, 3, 3, 5]",Withdrawn,3.5093408,3.148309826850891,3.982743501663208,4.408074688911438,4.704056358337402
61,0KHW6yXdiZ,"[3, 6, 6, 6]",Reject,4.313849,3.78323233127594,5.027570009231567,5.5490027427673345,5.957875716686249
62,0L8wZ9WRah,"[3, 3, 3, 6]",Reject,3.2009103,2.7600921988487244,3.726018726825714,4.213844573497773,4.59625173807144
63,0LSAmFCc4p,"[6, 8, 8, 3]",Accept (Poster),3.8912344,2.8236597776412964,5.095962762832642,5.983442521095276,6.495094609260558
64,0Lpz2o6NDE,"[5, 5, 5, 5]",Reject,4.772791,4.560677409172058,5.051960229873657,5.29697425365448,5.459376692771912
65,0MVWOHwHDb,"[6, 5, 3, 6]",Reject,4.161715,3.691257119178772,4.784115195274353,5.307777321338653,5.748890602588653
66,0MhlzybvAp,"[6, 5, 6, 5]",Reject,5.144637,4.895763516426086,5.496140837669373,5.76862645149231,5.973757493495941
67,0N8yq8QwkD,"[5, 5, 5, 5, 5]",Withdrawn,4.871771,4.710857629776001,5.066405415534973,5.243943071365357,5.41377854347229
68,0NAVeUm7sk,"[5, 8, 6, 8]",Accept (Poster),5.0464206,4.247649669647217,6.120803117752075,6.775958561897278,7.244851458072662
69,0NEjIZlEhP,"[3, 3, 6, 3, 5]",Reject,3.5237272,3.1250028014183044,4.003326654434204,4.431644189357757,4.7493851423263544
70,0NvSMb7xgC,"[5, 5, 3, 6]",Withdrawn,4.136957,3.7069920897483826,4.658783912658691,5.109029150009156,5.410368192195892
71,0OB3RVmTXE,"[5, 5, 3, 3]",Withdrawn,3.5093408,3.148309826850891,3.982743501663208,4.408074688911438,4.704056358337402
72,0OTVNEm9N4,"[6, 6, 8, 8]",Accept (Poster),5.633357,5.052553296089172,6.602328062057495,7.121474730968476,7.395822525024414
73,0OzDMjPHa3,"[3, 5, 3, 3]",Reject,3.1272871,2.803344249725342,3.5409202575683594,3.9237222135066987,4.163512420654297
74,0PC9goPpuz,"[3, 3, 5]",Withdrawn,3.1138363,2.686125874519348,3.672794222831726,4.20170761346817,4.526860928535461
75,0PcJAHbSmc,"[5, 6, 5]",Reject,4.6582484,4.282076358795166,5.256234645843506,5.651664543151855,5.90214295387268
76,0PxLpVURTl,"[6, 8, 6, 6]",Accept (Poster),5.6020265,5.166113376617432,6.3102744817733765,6.751601195335389,7.05660879611969
77,0QJPszYxpo,"[5, 5, 6, 6, 3]",Reject,4.5177116,4.178139090538025,4.945739388465881,5.351945996284485,5.658683454990387
78,0QZcoGdmtJ,"[8, 8, 3, 6]",Reject,3.8912344,2.8236597776412964,5.095962762832642,5.983442521095276,6.495094609260558
79,0QePvFoqY6,"[3, 5, 5, 5]",Withdrawn,4.0224304,3.6551164388656616,4.484891414642334,4.914814448356628,5.171606838703155
80,0QkVAxJ5iZ,"[5, 8, 5, 3]",Reject,3.852214,3.1244159936904907,4.724647879600525,5.480586349964143,5.922103750705719
81,0QnKnt411O,"[6, 8, 6]",Accept (Poster),5.0006194,4.299403548240662,6.106971025466919,6.735964620113373,7.100876700878143
82,0QvLISYIKM,"[3, 6, 6, 6, 5]",Reject,4.6463556,4.258913159370422,5.115050196647644,5.523200941085816,5.861849224567413
83,0R3ha8oNPU,"[6, 5, 3, 6]",Reject,4.161715,3.691257119178772,4.784115195274353,5.307777321338653,5.748890602588653
84,0R8JUzjSdq,"[5, 5, 6, 5]",Reject,4.9454584,4.688058614730835,5.289177417755127,5.529093408584595,5.73753696680069
85,0RHMnPj8no,"[5, 5, 8, 6]",Reject,4.7372775,4.113599419593811,5.573258876800537,6.144888997077943,6.497872614860535
86,0RUQmLFF1D,"[8, 3, 6, 6]",Reject,4.035453,3.170142352581024,5.04098641872406,5.788189041614532,6.322878038883209
87,0Ra0E43kK0,"[3, 3, 3, 5]",Reject,3.1272871,2.803344249725342,3.5409202575683594,3.9237222135066987,4.163512420654297
88,0RgLIMh94b,"[5, 3, 3, 5]",Withdrawn,3.5093408,3.148309826850891,3.982743501663208,4.408074688911438,4.704056358337402
89,0SpkBUPjL3,"[6, 3, 3, 3]",Reject,3.2009103,2.7600921988487244,3.726018726825714,4.213844573497773,4.59625173807144
90,0T49QbSOho,"[8, 8, 6, 3]",Accept (Poster),3.8912344,2.8236597776412964,5.095962762832642,5.983442521095276,6.495094609260558
91,0T8vCKa7yu,"[3, 3, 3, 3]",Reject,2.8755286,2.671509623527527,3.114090323448181,3.3895840823650363,3.5565879225730894
92,0TSAIUCwpp,"[5, 6, 3, 3]",Withdrawn,3.5940602,3.1334660053253174,4.154529809951782,4.6629263997077945,4.98745641708374
93,0Th6bCZwKt,"[6, 6, 5, 1]",Reject,3.1695485,2.522302269935608,4.015294075012207,4.764716696739197,5.2539131999015805
94,0UCkWfcfb9,"[3, 3, 5, 5, 5]",Withdrawn,3.82838,3.519695818424225,4.239382386207581,4.6233690023422245,4.821615076065063
95,0UCoWxPhQ4,"[6, 6, 8]",Accept (Poster),4.9826293,4.184815764427185,6.102851510047913,6.710131204128266,7.126516270637512
96,0ULf242ApE,"[5, 8, 6, 5]",Reject,4.7372775,4.113599419593811,5.573258876800537,6.144888997077943,6.497872614860535
97,0UO1mH3Iwv,"[6, 6, 6]",Accept (Poster),5.315732,5.078189969062805,5.891889810562134,6.264965665340424,6.4955200195312495
98,0UvlnHgaii,"[6, 6, 6]",Accept (Poster),5.315732,5.078189969062805,5.891889810562134,6.264965665340424,6.4955200195312495
99,0VP3LuzZ8K,"[5, 8, 6, 6]",Reject,5.1105247,4.603405833244324,5.928979992866516,6.431847989559174,6.845487356185913
100,0Wl6h2CZeJ,"[5, 6, 5, 6]",Reject,5.144637,4.895763516426086,5.496140837669373,5.76862645149231,5.973757493495941
101,0WqAnYWi7H,"[5, 3, 5, 3, 6]",Reject,3.9105818,3.56014084815979,4.370646834373474,4.756449282169342,5.0345364809036255
102,0XT3Lg6S2Q,"[6, 3, 6, 5]",Reject,4.2016606,3.7339858412742615,4.8306015729904175,5.264321827888489,5.64953248500824
103,0Xc6o1HKXD,"[5, 3, 3]",Withdrawn,3.1138363,2.686125874519348,3.672794222831726,4.20170761346817,4.526860928535461
104,0Xt7uT04cQ,"[6, 6, 8, 6, 6]",Accept (Poster),5.9242625,5.627882122993469,6.301543831825256,6.648085904121399,6.906734538078308
105,0YXckVo7Kw,"[6, 5, 5, 6]",Withdrawn,5.144637,4.895763516426086,5.496140837669373,5.76862645149231,5.973757493495941
106,0Yfjerm9Zp,"[5, 3, 1, 5]",Withdrawn,2.7797863,2.241215765476227,3.3901806473731995,4.027892196178437,4.422952055931091
107,0YkZe9nwiC,"[3, 3, 3, 3, 3]",Reject,2.9120462,2.7348225712776184,3.1082499623298645,3.3234203457832336,3.460177594423294
108,0YxvqG9SsJ,"[5, 3, 3]",Withdrawn,3.1138363,2.686125874519348,3.672794222831726,4.20170761346817,4.526860928535461
109,0ZcQhdyI3n,"[6, 3, 1, 5, 3, 5]",Withdrawn,3.3102257,2.868976056575775,3.792298972606659,4.269948327541352,4.571834659576416
110,0Zot73kfLB,"[6, 3, 6, 6]",Reject,4.313849,3.78323233127594,5.027570009231567,5.5490027427673345,5.957875716686249
111,0a7TRHhhcS,"[3, 6, 3, 6]",Reject,3.5914834,3.0324164628982544,4.321711897850037,4.842851138114929,5.21681842803955
112,0aTIvSJ83I,"[3, 3, 3, 3]",Withdrawn,2.8755286,2.671509623527527,3.114090323448181,3.3895840823650363,3.5565879225730894
113,0aaaM31hLB,"[5, 6, 5, 5]",Reject,4.9454584,4.688058614730835,5.289177417755127,5.529093408584595,5.73753696680069
114,0bcRCD7YUx,"[6, 8, 3, 3]",Reject,3.4232593,2.664216458797455,4.363024473190308,5.148177313804627,5.623712682723999
115,0bcUyy2vdY,"[3, 5, 8, 6]",Reject,3.807788,2.976205050945282,4.847975373268127,5.51959331035614,5.955540764331817
116,0bmGL4q7vJ,"[8, 8, 8, 6]",Accept (Spotlight),6.1816554,5.589307188987732,7.183388710021973,7.629867601394653,7.84699854850769
117,0bswm093Yl,"[5, 6, 3, 5]",Withdrawn,4.136957,3.7069920897483826,4.658783912658691,5.109029150009156,5.410368192195892
118,0cBttXaOUK,"[5, 5, 5, 5]",Reject,4.772791,4.560677409172058,5.051960229873657,5.29697425365448,5.459376692771912
119,0cadcLKbt7,"[5, 5, 5, 1]",Withdrawn,3.0651646,2.4782034158706665,3.768824338912964,4.418850255012512,4.965911066532135
120,0ctvBgKFgc,"[8, 8, 8, 8]",Accept (Oral),7.4636965,7.318137884140015,7.926815152168274,8.189265179634095,8.390932655334472
121,0dELcFHig2,"[6, 6, 8]",Accept (Poster),4.9826293,4.184815764427185,6.102851510047913,6.710131204128266,7.126516270637512
122,0e26yMOCbd,"[3, 3, 3, 3, 5]",Reject,3.1734164,2.8935590386390686,3.4692542552948,3.8461889743804933,4.06066426038742
123,0e2pcSxQJS,"[8, 6, 6, 8]",Accept (Poster),5.633357,5.052553296089172,6.602328062057495,7.121474730968476,7.395822525024414
124,0eMsrRMmCw,"[6, 6, 8]",Accept (Poster),4.9826293,4.184815764427185,6.102851510047913,6.710131204128266,7.126516270637512
125,0eRJRbVG95,"[3, 6, 3, 5, 5]",Withdrawn,3.9382486,3.585087239742279,4.348254084587097,4.815474665164948,5.072089278697967
126,0er6aOyXUD,"[5, 5, 6, 5, 6]",Reject,5.168505,4.975700378417969,5.415870785713196,5.694138705730438,5.84831395149231
127,0eu837jdBD,"[3, 5, 5, 5]",Withdrawn,4.0224304,3.6551164388656616,4.484891414642334,4.914814448356628,5.171606838703155
128,0fD3iIBhlV,"[5, 6, 6, 8, 6]",Accept (Poster),5.574148,5.1895012855529785,6.099841237068176,6.485628557205201,6.862126159667969
129,0fJfVOSUra,"[6, 8, 8, 8]",Accept (Spotlight),6.1816554,5.589307188987732,7.183388710021973,7.629867601394653,7.84699854850769
130,0fhzSFsGUT,"[8, 8, 6, 8]",Accept (Spotlight),6.1816554,5.589307188987732,7.183388710021973,7.629867601394653,7.84699854850769
131,0fwJMANq9P,"[5, 8, 3, 5]",Reject,3.9040842,3.136041045188904,4.8140212297439575,5.604792296886444,6.036530375480652
132,0gGPVbRqOE,"[5, 3, 3, 6]",Withdrawn,3.5940602,3.1334660053253174,4.154529809951782,4.6629263997077945,4.98745641708374
133,0gOQeSHNX1,"[8, 5, 5, 5]",Reject,4.600383,3.987775981426239,5.3528783321380615,5.963261282444,6.3199099659919735
134,0gVatTOgEv,"[3, 3, 5, 5]",Withdrawn,3.5093408,3.148309826850891,3.982743501663208,4.408074688911438,4.704056358337402
135,0gqCIaBRQ9,"[5, 6, 5, 5]",Reject,4.9454584,4.688058614730835,5.289177417755127,5.529093408584595,5.73753696680069
136,0h6v4SpLCY,"[8, 6, 8]",Accept (Spotlight),5.0052667,3.839999258518219,6.562647461891174,7.2020669937133786,7.568014371395111
137,0hc7iQLhCt,"[3, 5, 3]",Reject,3.0884929,2.6796759963035583,3.6518189907073975,4.122314035892487,4.452548682689667
138,0hyShAPeBj,"[5, 5, 3, 3]",Reject,3.5093408,3.148309826850891,3.982743501663208,4.408074688911438,4.704056358337402
139,0iAZYF9hrl,"[3, 1, 3, 3]",Reject,2.2493498,1.9458217024803162,2.615500807762146,2.9974044024944306,3.2781222283840177
140,0iXfS9Smqf,"[3, 5, 3, 3]",Reject,3.1272871,2.803344249725342,3.5409202575683594,3.9237222135066987,4.163512420654297
141,0iscEAo2xB,"[10, 6, 5, 6]",Accept (Poster),4.305132,3.3285402059555054,5.652967691421509,6.46698888540268,6.965976715087891
142,0jJ94VVgzi,"[6, 5, 5, 8]",Reject,4.7372775,4.113599419593811,5.573258876800537,6.144888997077943,6.497872614860535
143,0jUeqlQxMi,"[3, 3, 5, 5]",Reject,3.5093408,3.148309826850891,3.982743501663208,4.408074688911438,4.704056358337402
144,0je4SA7Jjg,"[5, 5, 6, 10]",Reject,3.9261274,2.694618046283722,5.337321639060974,6.105409038066864,6.601681888103485
145,0jmFRA64Vw,"[3, 3, 3]",Withdrawn,2.7784371,2.518460690975189,3.086484909057617,3.4393401503562933,3.6716650426387787
146,0k7pbSxNOG,"[6, 3, 5, 6]",Reject,4.161715,3.691257119178772,4.784115195274353,5.307777321338653,5.748890602588653
147,0koPj0cJV6,"[5, 6, 5, 3, 1]",Reject,3.2584512,2.6958312392234802,3.9189392924308777,4.454870748519897,4.783674657344818
148,0lMhptUGxP,"[5, 5, 6, 5]",Reject,4.9454584,4.688058614730835,5.289177417755127,5.529093408584595,5.73753696680069
149,0lVQBMhsPG,"[5, 3, 3, 5, 5]",Withdrawn,3.820049,3.510183870792389,4.226455807685852,4.632133150100708,4.840062296390533
150,0mJZplhexS,"[6, 3, 3, 5]",Withdrawn,3.5940602,3.1334660053253174,4.154529809951782,4.6629263997077945,4.98745641708374
151,0mdUV1pLGP,"[3, 5, 3, 3]",Withdrawn,3.1272871,2.803344249725342,3.5409202575683594,3.9237222135066987,4.163512420654297
152,0mo2yqOS6Z,"[5, 6, 6, 5, 6]",Reject,5.346725,5.117403984069824,5.631050109863281,5.88756160736084,6.027328622341155
153,0mtz0pet1z,"[6, 6, 6, 5]",Accept (Poster),5.375555,5.117740511894226,5.744035482406616,6.050020825862885,6.260051250457764
154,0n4bS0R5MM,"[6, 8, 6, 3, 8]",Accept (Poster),4.6004725,3.813627302646637,5.544139862060547,6.171603882312775,6.6110106825828545
155,0nJEgNpb4l,"[5, 8, 6, 6]",Accept (Poster),5.1105247,4.603405833244324,5.928979992866516,6.431847989559174,6.845487356185913
156,0nJt9aVGtl,"[3, 6, 3, 6]",Reject,3.5914834,3.0324164628982544,4.321711897850037,4.842851138114929,5.21681842803955
157,0no1Wp2R2j,"[3, 6, 6, 6]",Accept (Poster),4.313849,3.78323233127594,5.027570009231567,5.5490027427673345,5.957875716686249
158,0nxocR2qx4,"[6, 6, 5]",Reject,4.8408895,4.484274983406067,5.5081223249435425,5.912766683101654,6.157498288154602
159,0oWGVvC6oq,"[6, 6, 8, 6]",Accept (Poster),5.6020265,5.166113376617432,6.3102744817733765,6.751601195335389,7.05660879611969
160,0ov0dMQ3mN,"[6, 6, 6, 6]",Accept (Poster),5.7202053,5.510653853416443,5.993111968040466,6.25331472158432,6.426803767681122
161,0owAtTCOlU,"[6, 5, 6, 6]",Reject,5.375555,5.117740511894226,5.744035482406616,6.050020825862885,6.260051250457764
162,0owyEm6FAk,"[5, 5, 5, 3, 5, 5]",Withdrawn,4.465294,4.226901412010193,4.728353261947632,5.016480362415314,5.201505136489868
163,0pLCDJVVRD,"[8, 8, 6, 6]",Accept (Poster),5.633357,5.052553296089172,6.602328062057495,7.121474730968476,7.395822525024414
164,0pbxX2jatP,"[5, 3, 5]",Reject,3.5910006,3.1370299458503723,4.210055232048035,4.655126166343689,4.971946275234222
165,0py3h7pops,"[6, 5, 5, 6]",Reject,5.144637,4.895763516426086,5.496140837669373,5.76862645149231,5.973757493495941
166,0qexTTfnmH,"[3, 6, 3, 3]",Withdrawn,3.2009103,2.7600921988487244,3.726018726825714,4.213844573497773,4.59625173807144
167,0qfIhtel8N,"[3, 3, 3]",Withdrawn,2.7784371,2.518460690975189,3.086484909057617,3.4393401503562933,3.6716650426387787
168,0qrTH5AZVt,"[6, 3, 5]",Reject,3.6010108,2.9947991371154785,4.383097052574158,4.97244713306427,5.36416095495224
169,0quBGOPP5V,"[3, 3, 3, 6]",Withdrawn,3.2009103,2.7600921988487244,3.726018726825714,4.213844573497773,4.59625173807144
170,0rACj8JLAL,"[5, 5, 6, 6]",Reject,5.144637,4.895763516426086,5.496140837669373,5.76862645149231,5.973757493495941
171,0rS9o1uKqu,"[1, 3, 3, 3]",Reject,2.2493498,1.9458217024803162,2.615500807762146,2.9974044024944306,3.2781222283840177
172,0rmOx0Ifbf,"[5, 5, 3, 5, 3]",Reject,3.8754866,3.534124493598938,4.246297836303711,4.64377908706665,4.870871126651764
173,0sJ8TqOLGS,"[5, 8, 5, 3]",Reject,3.852214,3.1244159936904907,4.724647879600525,5.480586349964143,5.922103750705719
174,0sU4myabw1,"[3, 5, 3, 6]",Reject,3.5640247,3.0954073071479797,4.148592591285706,4.676625597476959,5.029645800590515
175,0sary0UZn5,"[8, 3, 3, 8]",Reject,3.3459513,2.3933311104774475,4.497839450836182,5.272371625900268,5.772304046154022
176,0spR7wDwBh,"[8, 5, 6, 5, 6, 6]",Reject,5.573887,5.298052072525024,5.962994933128357,6.315223705768585,6.579004216194153
177,0sr8bS4S2H,"[6, 3, 3, 5]",Withdrawn,3.5940602,3.1334660053253174,4.154529809951782,4.6629263997077945,4.98745641708374
178,0tAXMiSufG,"[8, 6, 6, 6, 6]",Accept (Poster),5.9336376,5.614534020423889,6.324411392211914,6.656055665016174,6.914074385166168
179,0tAn34IkXI,"[3, 6, 5, 3]",Withdrawn,3.5940602,3.1334660053253174,4.154529809951782,4.6629263997077945,4.98745641708374
180,0tIiMNNmdm,"[6, 6, 3]",Reject,3.59346,2.840618312358856,4.528915047645569,5.2188030838966375,5.745241641998291
181,0tMcsHsHgQ,"[6, 6, 5, 5]",Withdrawn,5.144637,4.895763516426086,5.496140837669373,5.76862645149231,5.973757493495941
182,0tXmtd0vZG,"[3, 6, 5, 6]",Reject,4.2016606,3.7339858412742615,4.8306015729904175,5.264321827888489,5.64953248500824
183,0uFTqvQhML,"[5, 6, 3, 6]",Withdrawn,4.2016606,3.7339858412742615,4.8306015729904175,5.264321827888489,5.64953248500824
184,0uRc3CfJIQ,"[3, 5, 8, 8, 6, 5]",Accept (Poster),4.85001,4.350669026374817,5.489740014076233,6.048185670375824,6.348998308181763
185,0vKokoPKTo,"[3, 5, 3, 3]",Withdrawn,3.1272871,2.803344249725342,3.5409202575683594,3.9237222135066987,4.163512420654297
186,0vMLqSdsKW,"[5, 5, 3, 5]",Reject,4.0224304,3.6551164388656616,4.484891414642334,4.914814448356628,5.171606838703155
187,0vtftmYQGV,"[6, 5, 6, 6]",Reject,5.375555,5.117740511894226,5.744035482406616,6.050020825862885,6.260051250457764
188,0wQCSXJbwt,"[5, 6, 3, 3]",Reject,3.5940602,3.1334660053253174,4.154529809951782,4.6629263997077945,4.98745641708374
189,0wfmHoKQX6,"[5, 3, 5, 6]",Reject,4.1021028,3.7096468210220337,4.615116596221924,5.066195523738862,5.369213271141052
190,0whx8MhysK,"[8, 6, 6, 6, 6]",Accept (Poster),5.9336376,5.614534020423889,6.324411392211914,6.656055665016174,6.914074385166168
191,0wmfzWPAFu,"[6, 6, 6, 8, 5]",Accept (Poster),5.574148,5.1895012855529785,6.099841237068176,6.485628557205201,6.862126159667969
192,0x8wWloW2O,"[1, 5, 5, 5]",Withdrawn,3.0651646,2.4782034158706665,3.768824338912964,4.418850255012512,4.965911066532135
193,0xUEBQV54B,"[3, 5, 6, 6]",Reject,4.161715,3.691257119178772,4.784115195274353,5.307777321338653,5.748890602588653
194,0y3hGn1wOk,"[5, 5, 6, 5, 6]",Accept (Poster),5.168505,4.975700378417969,5.415870785713196,5.694138705730438,5.84831395149231
